window_start,bin,Delta_J00,Delta_J10,Delta_J01,Delta_J11,Delta_arrival,Delta_dispatch,simplex_error,arrival_identity_error,dispatch_identity_error
2021-05-09,B9,0.003367399849030041,-0.04185827278077829,0.0,0.03849087293174826,0.03849087293174826,-0.003367399849030034,6.938893903907228e-18,0.0,0.0
2021-05-09,B10,0.002826356119039053,-0.004820255996726576,0.0,0.001993899877687536,0.001993899877687536,-0.0028263561190390403,1.2576745200831851e-17,0.0,0.0
2021-05-16,B1,-0.011012936726965824,-0.017304746859090718,0.0,0.028317683586056547,0.028317683586056547,0.011012936726965829,5.204170427930421e-18,0.0,0.0
2021-05-16,B2,-0.00447464950837251,0.008029681735635369,0.0,-0.0035550322272628583,-0.0035550322272628583,0.004474649508372511,8.673617379884035e-19,0.0,0.0
2021-05-16,B3,-0.04683256701890241,0.008276655784011131,0.0,0.03855591123489129,0.03855591123489129,0.04683256701890243,1.0408340855860843e-17,0.0,0.0
2021-05-16,B4,0.000505900440455414,0.02963037883194952,0.0,-0.030136279272404944,-0.030136279272404944,-0.0005059004404554257,-1.1709383462843448e-17,0.0,0.0
2021-05-16,B5,0.0007471134589101345,-0.019099632606665855,0.0,0.01835251914775573,0.01835251914775573,-0.0007471134589101258,8.673617379884035e-18,0.0,0.0
2021-05-16,B6,-0.0002691039986121983,-0.004531941191777259,0.0,0.004801045190389444,0.004801045190389444,0.00026910399861218483,-1.3444106938820255e-17,0.0,0.0
2021-05-16,B7,-0.07159321408814309,0.03304034257381113,0.0,0.03855287151433197,0.03855287151433197,0.07159321408814309,6.938893903907228e-18,0.0,0.0
2021-05-16,B8,-0.024296894061386812,-5.014778565508738e-06,0.0,0.024301908839952303,0.024301908839952303,0.024296894061386794,-1.7780915628762273e-17,0.0,0.0
2021-05-16,B9,-0.019879528775346815,0.037421119409380595,0.0,-0.01754159063403377,-0.01754159063403377,0.019879528775346825,1.0408340855860843e-17,0.0,0.0
2021-05-16,B10,0.01253808982888877,-0.0032304482228753427,0.0,-0.009307641606013436,-0.009307641606013436,-0.01253808982888878,-7.806255641895632e-18,0.0,0.0
2021-05-23,B1,0.013811786020523888,-0.03062816363787237,0.0,0.016816377617348482,0.016816377617348482,-0.013811786020523888,0.0,0.0,0.0
2021-05-23,B2,-0.00361317839133671,0.009296554861667333,0.0,-0.005683376470330613,-0.005683376470330613,0.00361317839133672,9.974659986866641e-18,0.0,0.0
2021-05-23,B3,0.03936980985226599,-0.0553310448485887,0.0,0.015961234996322734,0.015961234996322734,-0.03936980985226597,2.42861286636753e-17,0.0,0.0
2021-05-23,B4,0.01734972449083191,0.01676975856090729,0.0,-0.03411948305173919,-0.03411948305173919,-0.0173497244908319,1.0408340855860843e-17,0.0,0.0
2021-05-23,B5,-0.020714131905992368,0.03880800578854168,0.0,-0.018093873882549325,-0.018093873882549325,0.020714131905992358,-1.0408340855860843e-17,0.0,0.0
2021-05-23,B6,-0.025466684969353923,0.020186898555356207,0.0,0.005279786413997722,0.005279786413997722,0.02546668496935393,6.071532165918825e-18,0.0,0.0
2021-05-23,B7,0.04922261254228467,-0.0723704687844032,0.0,0.02314785624211855,0.02314785624211855,-0.049222612542284654,1.3877787807814457e-17,0.0,0.0
2021-05-23,B8,5.9253537746726485e-05,0.004282958929632723,0.0,-0.004342212467379434,-0.004342212467379434,-5.925353774671044e-05,1.6046192152785466e-17,0.0,0.0
2021-05-23,B9,-0.016456869112123164,0.02723631454645843,0.0,-0.010779445434335263,-0.010779445434335263,0.01645686911212317,5.204170427930421e-18,0.0,0.0
2021-05-23,B10,-0.023309454657377094,-0.02389030992292464,0.0,0.04719976458030174,0.04719976458030174,0.0233094546573771,6.938893903907228e-18,0.0,0.0
2021-05-30,B1,-0.01443632458483943,0.0036442671884924557,0.0,0.010792057396346977,0.010792057396346977,0.014436324584839432,1.734723475976807e-18,0.0,0.0
2021-05-30,B2,-0.04593867251820997,0.019799736625540968,0.0,0.026138935892668993,0.026138935892668993,0.04593867251820996,-6.938893903907228e-18,0.0,0.0
2021-05-30,B3,-0.03127721898080206,0.016975433180644903,0.0,0.014301785800157112,0.014301785800157112,0.03127721898080202,-4.5102810375396984e-17,0.0,0.0
2021-05-30,B4,0.010756145701477916,0.005137865903214936,0.0,-0.015894011604692847,-0.015894011604692847,-0.010756145701477912,4.336808689942018e-18,0.0,0.0
2021-05-30,B5,0.00869953517589557,-0.03460855808234724,0.0,0.025909022906451674,0.025909022906451674,-0.008699535175895563,6.938893903907228e-18,0.0,0.0
2021-05-30,B6,-0.017242168128692954,0.004095723880871983,0.0,0.013146444247820969,0.013146444247820969,0.01724216812869295,-2.6020852139652106e-18,0.0,0.0
2021-05-30,B7,-0.07190284118611764,0.010901027077497667,0.0,0.06100181410861995,0.06100181410861995,0.07190284118611762,-2.949029909160572e-17,0.0,0.0
2021-05-30,B8,-0.02414197676548716,-0.04589853869015254,0.0,0.0700405154556397,0.0700405154556397,0.024141976765487162,3.469446951953614e-18,0.0,0.0
2021-05-30,B9,0.0016598448707072248,-0.039375164937673894,0.0,0.037715320066966665,0.037715320066966665,-0.0016598448707072291,-4.336808689942018e-18,0.0,0.0
2021-05-30,B10,0.036226660842218844,0.012495095929026999,0.0,-0.048721756771245836,-0.048721756771245836,-0.03622666084221884,6.938893903907228e-18,0.0,0.0
2021-06-06,B1,0.0700121255486,-0.055749937036218014,0.0,-0.014262188512382016,-0.014262188512382016,-0.07001212554860003,-3.642919299551295e-17,0.0,0.0
2021-06-06,B2,0.001448201448201447,0.010205528387346566,0.0,-0.011653729835548007,-0.011653729835548007,-0.001448201448201441,6.071532165918825e-18,0.0,0.0
2021-06-06,B3,-0.027806140199680897,0.03446595864826452,0.0,-0.006659818448583607,-0.006659818448583607,0.027806140199680918,1.9081958235744878e-17,0.0,0.0
2021-06-06,B4,-0.05520989694066618,-0.018589807628269162,0.0,0.07379970456893534,0.07379970456893534,0.05520989694066618,-3.469446951953614e-18,0.0,0.0
2021-06-06,B5,-0.019389526237723293,-0.04892338045624884,0.0,0.06831290669397215,0.06831290669397215,0.01938952623772331,1.734723475976807e-17,0.0,0.0
2021-06-06,B6,-0.008625994480669882,-0.003953998541550657,0.0,0.01257999302222055,0.01257999302222055,0.008625994480669892,1.0408340855860843e-17,0.0,0.0
2021-06-06,B7,0.0055776873399824255,0.009482434687352721,0.0,-0.01506012202733513,-0.01506012202733513,-0.005577687339982408,1.734723475976807e-17,0.0,0.0
2021-06-06,B8,0.005857830339588558,0.01964295852531519,0.0,-0.025500788864903756,-0.025500788864903756,-0.005857830339588567,-8.673617379884035e-18,0.0,0.0
2021-06-06,B9,-0.01663145349152175,0.023476599244517334,0.0,-0.006845145752995585,-0.006845145752995585,0.01663145349152175,-1.734723475976807e-18,0.0,0.0
2021-06-06,B10,-0.019483146438352257,-0.04750247532935183,0.0,0.0669856217677041,0.0669856217677041,0.01948314643835227,1.3877787807814457e-17,0.0,0.0
2021-06-13,B1,-0.007145480090685566,-0.02294360890251301,0.0,0.030089088993198593,0.030089088993198593,0.007145480090685583,1.734723475976807e-17,0.0,0.0
2021-06-13,B2,0.0032666497566197716,-0.0535405071760676,0.0,0.050273857419447815,0.050273857419447815,-0.003266649756619784,-1.2576745200831851e-17,0.0,0.0
2021-06-13,B3,0.01714215309779826,-0.06467100148954988,0.0,0.04752884839175162,0.04752884839175162,-0.017142153097798256,3.469446951953614e-18,0.0,0.0
2021-06-13,B4,-0.008213144152636052,0.01287649330101665,0.0,-0.004663349148380603,-0.004663349148380603,0.008213144152636048,-4.336808689942018e-18,0.0,0.0
2021-06-13,B5,-0.0008082174236020397,0.003373908143138913,0.0,-0.0025656907195368726,-0.0025656907195368726,0.0008082174236020406,8.673617379884035e-19,0.0,0.0
2021-06-13,B6,0.0003191597562501314,0.025641819345499788,0.0,-0.025960979101749927,-0.025960979101749927,-0.0003191597562501383,-6.938893903907228e-18,0.0,0.0
