window_start,bin,common_support_strata,event_coverage,reference_coverage,event_record_count,reference_record_count,weight_vector_hash,schema_era,timestamp_validity
2020-03-29,B10,59,0.920997920997921,0.934640522875817,481,459,3e0407a385b7f83c949d9a10bde935cf7e0e60015c7fbe61f27140a3f5ba4e39,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B1,45,0.8610169491525423,0.8923611111111112,295,288,870077f5fcc5f1920c278e497c8212cf50d324a336aa00069227f7f0a282b880,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B2,63,0.9466357308584686,0.937888198757764,431,483,9d53191d4aa3ff27ea7d4b82d942ce1c5df89388671283b45d99304857d9ba81,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B3,48,0.9006849315068494,0.8862068965517241,292,290,b6732a73e966d9c107d1101073f6d9c98fad0be74cb8bfbb81f985cf498c1e17,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B4,59,0.9299363057324841,0.9294403892944039,471,411,36e6b69ca73831189cddd0d1e0d545901d57f143fc6ac610924abeff9d5e6f31,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B5,42,0.9166666666666666,0.834375,288,320,29c8e48797ce70c3f3413519dcab9db41603f5c3b3896abb8cd82d96d690a96f,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B6,57,0.9181818181818182,0.9443207126948775,440,449,b1fa7ccd39183758dcbdf87ce604f1343ccaddb38a2349e5ed7a9b9dc0ce9a72,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B7,48,0.8821548821548821,0.8888888888888888,297,270,94f95e83da3931afb4d12965d357ef7fb7ee4a6ae99372da56636b308422e0ea,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B8,60,0.9234042553191489,0.9475982532751092,470,458,96c5fdbd67f67def163f5579f1619f53174c306654c672eb303ed8ceaf8520fd,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B9,49,0.9066666666666666,0.9210526315789473,300,342,907627234ae919bdd076d14e1e00cefa590c734bbc6785b454ea401ecce89f7c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-05,B10,60,0.9023861171366594,0.9147609147609148,461,481,3a3bc69263723c0099723e562daa506bd049f66db281661f2aa2e34ae5da5855,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B1,52,0.9041666666666667,0.9225352112676056,240,284,55ab304e4a3eb039a8e4f9669f9b933958bab16a1257ffc7b20772c408b1a4a1,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B2,61,0.921875,0.9465648854961832,384,393,5dbbd9691682f6489a47582c764e578246bde2bac24d0535a7844423f3d133dd,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B3,47,0.8865546218487395,0.9208333333333333,238,240,d346f5e8db05573a299f4e2a9c5d68eac7fdfc1a98c9c1c948e6202df5908967,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B4,65,0.9287410926365796,0.9237668161434978,421,446,b60a3120944d23e72035dae6e76f3c033ef1dfb77d1628c7b77a1e1e744e908c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B5,52,0.8980392156862745,0.9298892988929889,255,271,296fec146ced238b499e6cd62b12abbd4a4513bf34ee85bf0889bb41f6a70d2c,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B6,62,0.9316770186335404,0.936768149882904,483,427,3d6da3d4fda89f457c6b7e93ab64db50f30103921050f5bf5158c7ff5a341ee7,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B7,42,0.9298245614035088,0.8759124087591241,228,274,47d770426148c984eb1147af3b3d22403a084c8d9fafc35fd2fd67dd5eb46150,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B8,64,0.9228971962616822,0.9022222222222223,428,450,28adc73d95ceb275b1fdec0215b3f2aadc3fdf0603375ae888d8d3a1000aa152,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
2020-04-19,B9,41,0.8704453441295547,0.8315789473684211,247,285,a3d7dcac7d6461d54c5c426b45e52d313cc1887b68ca6c0000ed7d101c80a7cf,numeric,FROZEN_TIMECREATE_AGGREGATE_PASS
