window_start,lower,upper,width,feasible_start_count,refinement_trigger_Ida,refinement_trigger_0_25,refinement_status,root_certificate
2021-08-01,0.04807731191243296,0.08008104256284773,0.03200373065041477,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.04807732191243296, ""Q_dimension"": 7, ""raw"": 0.04807732191243296, ""spectral"": 0.015302240400733639, ""support_only"": 0.0}"
2021-08-08,0.023856984470572076,0.06361353548615443,0.039756551015582356,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.023856994470572077, ""Q_dimension"": 7, ""raw"": 0.023856994470572077, ""spectral"": 0.008015716156247176, ""support_only"": 0.0}"
2021-08-15,0.04410000820017836,0.0441000182001783,9.99999993922529e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.044100018200178365, ""Q_dimension"": 7, ""raw"": 0.044100018200178365, ""spectral"": 0.016215362974736115, ""support_only"": 0.0}"
2021-08-22,0.06666005731366226,0.06666006731366211,9.999999855958563e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.06666006731366225, ""Q_dimension"": 7, ""raw"": 0.06666006731366225, ""spectral"": 0.026266669193538306, ""support_only"": 0.0}"
2021-09-12,0.04141078320611626,0.042482108397435055,0.0010713251913187921,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.041410793206116264, ""Q_dimension"": 7, ""raw"": 0.041410793206116264, ""spectral"": 0.013109303265235564, ""support_only"": 0.0}"
2021-09-19,0.049421095354654734,0.04942110535465465,9.999999918408609e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.049421105354654736, ""Q_dimension"": 7, ""raw"": 0.049421105354654736, ""spectral"": 0.016962242991469152, ""support_only"": 0.0}"
2021-09-26,0.07327607604450115,0.07327608604450093,9.999999786569624e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.07327608604450114, ""Q_dimension"": 7, ""raw"": 0.07327608604450114, ""spectral"": 0.0218650431214422, ""support_only"": 0.0}"
2021-10-03,0.036832464791192225,0.04449079630088845,0.007658331509696227,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.03683247479119223, ""Q_dimension"": 7, ""raw"": 0.03683247479119223, ""spectral"": 0.01359606806505681, ""support_only"": 0.0}"
2021-10-10,0.05390389559889993,0.0539039055988997,9.999999772691837e-09,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.05390390559889993, ""Q_dimension"": 7, ""raw"": 0.05390390559889993, ""spectral"": 0.014697421898642723, ""support_only"": 0.0}"
2021-10-17,0.03869825437629865,0.042026840036497204,0.0033285856601985506,113,False,False,PRESERVED_INTERVAL_NO_CARTESIAN_ENUMERATION,"{""LP"": 0.038698264376298655, ""Q_dimension"": 7, ""raw"": 0.038698264376298655, ""spectral"": 0.016092471211804238, ""support_only"": 0.0}"
